['6', '8', '36', '37', '60', '62', '64', '67', '75', '80', '87', '102', '103', '105', '112', '113', '141', '156', '160', '162', '165', '166', '169', '180', '181', '198', '199', '218', '228', '230', '241', '254', '268', '270', '284', '288', '305', '323', '328', '337', '339', '350', '356', '369', '371', '372', '394', '400', '404', '462']
['16', '32', '41', '89', '100', '106', '110', '119', '129', '135', '144', '175', '179', '186', '189', '190', '200', '221', '272', '276', '283', '295', '298', '300', '304', '326', '332', '334', '335', '354', '355', '361', '364', '374', '376', '389', '393', '397', '401', '408', '410', '411', '417', '424', '432', '440', '444', '473', '475', '498']
['4', '5', '18', '21', '26', '38', '40', '48', '53', '55', '57', '76', '108', '121', '131', '149', '163', '174', '202', '205', '210', '222', '223', '231', '243', '256', '260', '266', '293', '301', '302', '315', '320', '336', '349', '366', '368', '375', '391', '398', '403', '406', '413', '414', '427', '428', '435', '437', '454', '457']
['1', '14', '35', '52', '54', '56', '61', '68', '79', '88', '115', '118', '134', '136', '161', '172', '176', '187', '196', '203', '213', '233', '246', '248', '249', '263', '289', '290', '294', '297', '299', '312', '338', '340', '344', '346', '352', '365', '367', '373', '387', '390', '399', '421', '426', '442', '448', '453', '484', '489']
['7', '29', '33', '45', '46', '47', '59', '65', '84', '86', '90', '130', '140', '148', '154', '157', '168', '170', '195', '201', '214', '224', '225', '227', '235', '238', '245', '271', '275', '277', '319', '321', '331', '345', '379', '380', '392', '405', '415', '418', '429', '436', '438', '441', '455', '466', '467', '482', '485', '490']
['2', '19', '22', '42', '69', '73', '81', '92', '95', '99', '128', '137', '139', '143', '147', '150', '151', '155', '178', '206', '207', '208', '209', '216', '219', '240', '255', '258', '261', '264', '267', '269', '309', '317', '318', '324', '327', '348', '363', '385', '396', '409', '425', '439', '447', '468', '469', '483', '492', '494']
['11', '17', '20', '24', '27', '31', '49', '51', '58', '78', '91', '94', '125', '138', '158', '167', '171', '182', '236', '239', '244', '251', '253', '281', '285', '286', '296', '310', '314', '316', '330', '353', '357', '370', '377', '381', '382', '384', '388', '420', '430', '431', '433', '434', '450', '465', '474', '476', '488', '496']
['0', '10', '12', '13', '28', '34', '39', '44', '50', '63', '71', '72', '74', '85', '104', '107', '117', '120', '127', '133', '153', '159', '173', '185', '197', '212', '232', '257', '273', '280', '287', '291', '292', '311', '329', '351', '358', '383', '386', '402', '412', '419', '443', '449', '456', '461', '477', '487', '493', '499']
['9', '15', '23', '25', '43', '66', '77', '96', '97', '101', '109', '111', '114', '122', '126', '132', '142', '145', '164', '192', '211', '215', '217', '220', '234', '237', '242', '247', '252', '259', '278', '279', '303', '307', '341', '360', '362', '407', '422', '423', '445', '458', '463', '471', '472', '480', '481', '486', '495', '497']
['3', '30', '70', '82', '83', '93', '98', '116', '123', '124', '146', '152', '177', '183', '184', '188', '191', '193', '194', '204', '226', '229', '250', '262', '265', '274', '282', '306', '308', '313', '322', '325', '333', '342', '343', '347', '359', '378', '395', '416', '446', '451', '452', '459', '460', '464', '470', '478', '479', '491']
