['2', '10', '34', '36', '39', '40', '46', '54', '63', '96', '110', '116', '123', '125', '138', '144', '155', '158', '166', '180', '195', '230', '235', '259', '265', '267', '310', '312', '316', '322', '342', '343', '345', '358', '360', '381', '383', '387', '394', '398']
['12', '13', '19', '33', '43', '47', '48', '69', '81', '84', '85', '91', '93', '113', '115', '121', '122', '130', '141', '153', '157', '171', '196', '206', '247', '280', '281', '282', '292', '303', '313', '314', '321', '325', '327', '351', '355', '359', '371', '373']
['22', '27', '28', '37', '55', '58', '87', '94', '102', '103', '106', '111', '133', '143', '151', '152', '187', '211', '223', '225', '234', '251', '262', '270', '271', '276', '279', '283', '285', '295', '301', '305', '317', '329', '335', '338', '357', '368', '391', '395']
['26', '35', '60', '62', '65', '80', '97', '98', '105', '109', '136', '142', '146', '147', '164', '168', '178', '188', '192', '201', '208', '213', '214', '215', '216', '224', '248', '252', '263', '306', '319', '324', '331', '332', '346', '349', '361', '375', '379', '385']
['7', '9', '11', '20', '25', '53', '57', '71', '75', '95', '108', '114', '119', '134', '135', '149', '156', '161', '167', '191', '194', '197', '202', '204', '205', '220', '226', '246', '249', '261', '290', '294', '299', '302', '334', '339', '354', '366', '370', '397']
['0', '16', '29', '45', '52', '68', '77', '86', '99', '120', '124', '137', '145', '162', '169', '189', '199', '207', '218', '219', '221', '229', '232', '236', '239', '242', '255', '257', '266', '269', '275', '277', '288', '304', '323', '328', '330', '382', '386', '388']
['4', '14', '18', '23', '30', '64', '70', '72', '74', '88', '165', '193', '212', '228', '233', '238', '243', '244', '245', '256', '258', '264', '268', '273', '278', '284', '298', '309', '315', '340', '341', '344', '350', '353', '365', '374', '377', '392', '393', '396']
['15', '17', '21', '32', '49', '50', '51', '56', '59', '66', '67', '76', '78', '79', '82', '127', '129', '140', '159', '160', '170', '181', '183', '190', '200', '209', '231', '241', '253', '254', '289', '293', '300', '311', '347', '356', '362', '367', '380', '390']
['1', '3', '6', '24', '31', '73', '90', '101', '107', '112', '126', '131', '132', '139', '148', '172', '173', '174', '176', '179', '182', '184', '210', '217', '237', '250', '260', '272', '287', '297', '326', '333', '336', '337', '352', '372', '376', '378', '384', '389']
['5', '8', '38', '41', '42', '44', '61', '83', '89', '92', '100', '104', '117', '118', '128', '150', '154', '163', '175', '177', '185', '186', '198', '203', '222', '227', '240', '274', '286', '291', '296', '307', '308', '318', '320', '348', '363', '364', '369', '399']
