['AJ', 'BB', 'BD', 'BS', 'CA', 'CC', 'CL', 'DC', 'ET', 'FA', 'FC', 'FL', 'FO', 'FY', 'GA', 'GK', 'GO', 'GV', 'HO', 'HR', 'HW', 'IC', 'IF', 'IN', 'IP', 'IT']
['AB', 'AE', 'AN', 'BL', 'CE', 'CS', 'CZ', 'DJ', 'DT', 'DZ', 'EH', 'EI', 'EJ', 'ES', 'FG', 'FP', 'FQ', 'FR', 'GS', 'GX', 'GY', 'HN', 'HV', 'HY', 'ID', 'IG']
['AG', 'BE', 'BQ', 'BU', 'BV', 'CH', 'CO', 'CP', 'CQ', 'CX', 'DP', 'FD', 'FE', 'FS', 'GF', 'GH', 'HB', 'HL', 'HP', 'HS', 'HT', 'HZ', 'IO', 'IS', 'IU', 'IZ']
['AH', 'AI', 'AL', 'BI', 'BO', 'BT', 'CI', 'CK', 'DF', 'DR', 'EL', 'EO', 'EX', 'EY', 'EZ', 'FH', 'FN', 'FT', 'FU', 'GL', 'GN', 'GQ', 'GZ', 'HE', 'HM', 'IA']
['AD', 'AK', 'AS', 'AY', 'BF', 'BK', 'BP', 'CD', 'CJ', 'CM', 'CV', 'CW', 'DK', 'EF', 'EQ', 'FX', 'GB', 'GM', 'GR', 'HD', 'HK', 'IJ', 'IK', 'IQ', 'IV', 'IW']
['AA', 'AV', 'JA', 'JB', 'JC', 'JD', 'JE', 'JF', 'JG', 'JH', 'JI', 'JJ', 'JL', 'JM', 'JN', 'JO', 'JP', 'JQ', 'JR', 'JS', 'JT', 'JU', 'JV', 'JW', 'JX', 'JZ']
['AM', 'CN', 'CR', 'CY', 'DO', 'DS', 'DU', 'DV', 'DW', 'DX', 'EA', 'ED', 'EM', 'EP', 'EU', 'EV', 'GE', 'GI', 'GP', 'HA', 'HJ', 'HX', 'IE', 'IX', 'IY', 'JK']
['AT', 'BG', 'BH', 'BM', 'BN', 'BR', 'CB', 'CF', 'CG', 'DA', 'DG', 'DN', 'DQ', 'EB', 'EG', 'EK', 'EW', 'FB', 'FF', 'GJ', 'GT', 'HC', 'HG', 'IB', 'IH', 'IM']
['AF', 'AO', 'AR', 'BA', 'BJ', 'BW', 'BX', 'BY', 'CU', 'DB', 'DD', 'DE', 'DY', 'EE', 'ER', 'FJ', 'FK', 'FV', 'GD', 'GG', 'GU', 'GW', 'HH', 'HU', 'II', 'IR']
['AC', 'AP', 'AQ', 'AU', 'AW', 'AX', 'AZ', 'BC', 'BZ', 'CT', 'DH', 'DI', 'DL', 'DM', 'EC', 'EN', 'FI', 'FM', 'FW', 'FZ', 'GC', 'HF', 'HI', 'HQ', 'IL', 'JY']
