['16', '450', '400', '127', '476', '190', '77', '410', '39', '55', '67', '225', '251', '286', '422', '116', '78', '387', '240', '226', '84', '211', '383', '93', '31', '381', '222', '82', '417', '161', '135', '155', '129', '86', '263', '10', '124', '287', '320', '442', '98', '301', '348', '189', '423', '108', '378', '32', '228', '298']
['495', '203', '184', '221', '270', '302', '4', '341', '472', '192', '177', '227', '29', '169', '103', '149', '492', '359', '318', '27', '209', '466', '491', '147', '50', '342', '262', '0', '250', '299', '352', '53', '170', '325', '245', '181', '499', '115', '100', '66', '384', '469', '283', '440', '231', '269', '199', '293', '439', '467']
['229', '478', '205', '276', '374', '153', '20', '57', '52', '40', '405', '427', '152', '291', '435', '85', '484', '137', '56', '258', '315', '460', '365', '197', '173', '334', '96', '35', '92', '126', '355', '146', '479', '70', '434', '83', '171', '319', '424', '489', '268', '134', '5', '123', '316', '180', '313', '357', '485', '44']
['101', '449', '122', '282', '128', '234', '220', '174', '403', '368', '143', '447', '470', '15', '248', '380', '120', '223', '163', '157', '109', '156', '397', '379', '308', '496', '202', '356', '266', '90', '164', '451', '411', '206', '158', '6', '45', '151', '444', '8', '154', '256', '37', '3', '133', '232', '392', '118', '142', '18']
['117', '377', '259', '106', '63', '279', '99', '167', '441', '398', '212', '71', '48', '309', '395', '369', '303', '148', '345', '290', '72', '255', '241', '401', '296', '358', '165', '471', '385', '131', '204', '136', '19', '89', '483', '486', '65', '339', '186', '452', '257', '218', '244', '208', '33', '176', '475', '2', '7', '73']
['112', '80', '236', '388', '198', '194', '68', '1', '275', '453', '314', '144', '252', '459', '183', '288', '179', '437', '429', '42', '304', '294', '474', '11', '494', '382', '404', '253', '145', '317', '111', '188', '13', '461', '22', '430', '462', '464', '375', '60', '431', '30', '425', '58', '193', '51', '24', '372', '178', '200']
['21', '88', '237', '323', '140', '415', '238', '273', '418', '343', '310', '36', '457', '307', '330', '224', '168', '338', '150', '64', '49', '139', '38', '481', '312', '277', '399', '219', '216', '433', '297', '428', '295', '278', '371', '347', '370', '213', '329', '95', '346', '215', '335', '396', '26', '332', '114', '281', '406', '366']
['344', '69', '363', '79', '340', '413', '438', '306', '408', '25', '350', '426', '246', '390', '182', '324', '105', '235', '130', '271', '337', '490', '455', '207', '34', '81', '376', '321', '9', '185', '409', '391', '414', '285', '289', '217', '43', '54', '336', '331', '260', '292', '364', '41', '454', '254', '448', '264', '416', '196']
['367', '463', '407', '419', '110', '274', '311', '497', '305', '141', '132', '201', '247', '386', '412', '210', '97', '12', '91', '272', '445', '373', '249', '243', '361', '23', '326', '121', '113', '102', '87', '300', '191', '482', '46', '333', '436', '322', '104', '328', '61', '267', '393', '421', '47', '233', '477', '59', '351', '159']
['242', '175', '488', '162', '265', '172', '125', '14', '75', '480', '119', '394', '420', '465', '360', '76', '389', '138', '187', '493', '473', '28', '327', '458', '402', '94', '160', '107', '362', '354', '284', '74', '214', '280', '443', '195', '432', '261', '166', '239', '353', '456', '487', '62', '349', '17', '230', '498', '468', '446']
